H(A/m),B(T)
80.0369074239904,0.314709499883665
77.5179074239904,0.313762499883666
74.9999074239904,0.312500499883666
72.5549074239904,0.310921499883666
69.8889074239903,0.309343499883666
67.5179074239904,0.307765499883666
64.9259074239904,0.305871499883666
62.5549074239904,0.304924499883666
59.8149074239904,0.302083499883666
57.4439074239904,0.299873499883666
54.9259074239904,0.297664499883666
52.5549074239904,0.295139499883666
50.0369074239903,0.292298499883666
47.4439074239904,0.288194499883666
44.9259074239904,0.285038499883666
42.5549074239904,0.282512499883666
39.9629074239904,0.278409499883666
37.5189074239904,0.274621499883666
34.9259074239904,0.269886499883666
32.5559074239904,0.265151499883666
29.9629074239904,0.259785499883666
27.5185074239904,0.253472499883666
24.9260074239904,0.246843499883666
22.5556074239904,0.239583499883666
19.9631074239904,0.231376499883666
17.4446074239904,0.221591499883666
14.9261074239904,0.211174499883666
12.5558074239904,0.199179499883666
10.1115074239904,0.184974499883666
7.37090742399035,0.166982499883666
4.92660742399035,0.146149499883666
2.55643742399035,0.121527499883666
0.0383004239903534,0.0886994998836656
-2.47982257600965,0.0473484998836656
-4.99799257600965,-0.000631000116334442
-7.44229257600965,-0.0523985001163344
-10.0351925760096,-0.0975375001163344
-12.5540925760096,-0.134153500116334
-14.9990925760096,-0.160353500116334
-17.4436925760096,-0.182133500116334
-20.0363925760096,-0.201388500116334
-22.5551925760096,-0.214961500116334
-25.0737925760096,-0.227272500116334
-27.4442925760096,-0.236742500116334
-30.1109925760096,-0.246211500116334
-32.6290925760096,-0.254103500116334
-35.0740925760096,-0.260416500116334
-37.5180925760096,-0.266729500116334
-40.0370925760096,-0.271780500116334
-42.4810925760096,-0.276830500116334
-45.0740925760096,-0.281565500116335
-47.5190925760096,-0.285037500116334
-50.0370925760096,-0.289141500116334
-52.5560925760096,-0.292297500116334
-55.0740925760096,-0.295138500116334
-57.5190925760096,-0.297663500116334
-60.0370925760096,-0.300504500116334
-62.5560925760096,-0.303030500116334
-65.0740925760096,-0.304924500116334
-67.5190925760096,-0.306817500116334
-70.0370925760096,-0.308711500116334
-72.6300925760096,-0.310605500116334
-75.0740925760096,-0.311868500116334
-77.5190925760096,-0.313446500116334
-80.0370925760096,-0.314709500116334
-80.0370925760096,-0.314709500116334
-77.5930925760097,-0.314709500116334
-75.0740925760096,-0.312815500116334
-72.4820925760096,-0.310605500116334
-70.1110925760097,-0.309343500116334
-67.5930925760097,-0.307764500116334
-65.0740925760096,-0.305871500116334
-62.3340925760096,-0.303030500116334
-60.0370925760096,-0.300504500116334
-57.5190925760096,-0.299873500116334
-55.0740925760096,-0.297348500116334
-52.4820925760096,-0.294823500116335
-50.0370925760096,-0.291982500116334
-47.5930925760096,-0.289141500116334
-45.0740925760096,-0.286931500116335
-42.4820925760096,-0.282196500116335
-40.0370925760096,-0.278724500116334
-37.5190925760096,-0.274621500116334
-35.0740925760096,-0.269886500116334
-32.4820925760096,-0.265151500116334
-30.0375925760096,-0.259469500116334
-27.5930925760096,-0.253787500116334
-25.0746925760096,-0.246843500116334
-22.4079925760096,-0.239267500116334
-20.0376925760096,-0.231376500116334
-17.5932925760096,-0.221906500116334
-15.0007925760096,-0.211489500116334
-12.4822925760096,-0.199810500116334
-9.88989257600965,-0.184658500116334
-7.59359257600965,-0.168560500116334
-5.07539257600965,-0.147095500116334
-2.40891257600965,-0.120896500116334
0.0352184239903534,-0.0880675001163345
2.47933742399035,-0.0482955001163344
4.99740742399035,0.000631999883665558
7.58980742399035,0.0533464998836655
9.96060742399035,0.0965914998836655
12.4795074239904,0.131944499883666
14.9243074239904,0.159722499883666
17.5912074239904,0.182449499883666
19.9618074239904,0.200126499883666
22.4805074239904,0.214330499883666
24.9251074239904,0.226641499883666
27.5177074239904,0.237373499883666
29.9623074239904,0.245896499883666
32.4809074239904,0.253788499883666
34.9249074239904,0.260416499883666
37.5919074239903,0.267992499883666
39.9629074239904,0.272411499883666
42.5549074239904,0.277146499883666
44.9259074239904,0.281250499883666
47.5919074239903,0.285669499883666
49.9629074239904,0.288825499883666
52.4809074239904,0.291351499883666
54.9999074239904,0.293876499883666
57.5179074239904,0.298295499883666
59.9629074239904,0.300505499883666
62.5549074239904,0.303030499883666
64.9999074239904,0.304924499883666
67.5919074239903,0.307134499883666
70.0369074239904,0.309343499883666
72.4809074239904,0.310606499883666
74.9999074239904,0.312184499883666
77.5919074239903,0.313762499883666
80.0369074239904,0.314709499883665
