H [A/m],B [T]
43.312,0.403042
39.5043,0.400947
35.6318,0.394663
31.7254,0.389606
27.9283,0.382094
24.1097,0.375259
20.8369,0.364442
17.3442,0.355174
13.7335,0.346171
10.4849,0.333873
7.10343,0.323389
3.87097,0.310475
0.981915,0.296584
-2.25954,0.285257
-4.38384,0.269507
-7.18771,0.255594
-9.3185,0.239395
-11.3666,0.222495
-13.6633,0.206646
-15.5347,0.189293
-16.8272,0.17056
-18.7105,0.152815
-19.6667,0.135054
-20.902,0.116099
-21.8603,0.0970771
-23.6628,0.0792163
-24.3417,0.0609681
-25.1272,0.0413582
-25.8558,0.0217956
-26.7028,0.00277094
-27.5299,-0.0145933
-28.1279,-0.0341503
-28.6322,-0.0516615
-29.9326,-0.0702779
-30.4591,-0.0896204
-30.7549,-0.108235
-31.6122,-0.126995
-31.8471,-0.146514
-32.4552,-0.16426
-32.903,-0.18327
-33.8642,-0.202578
-34.3757,-0.222259
-34.9563,-0.241661
-35.737,-0.261296
-36.7331,-0.279526
-36.9839,-0.298611
-38.2326,-0.317687
-39.3563,-0.336098
-40.2159,-0.355583
-41.9451,-0.372874
-42.2346,-0.39194
-38.9928,-0.395215
-35.1953,-0.388763
-31.1987,-0.383654
-27.5422,-0.3741
-23.9135,-0.36476
-20.2756,-0.355724
-16.5809,-0.346859
-12.7576,-0.338968
-9.87085,-0.325626
-6.78359,-0.312667
-3.68379,-0.30046
-1.24779,-0.286143
1.76988,-0.272357
3.97796,-0.255922
6.52546,-0.240145
8.94675,-0.224597
10.9822,-0.207589
13.1283,-0.191583
14.4922,-0.174238
15.7134,-0.156314
17.4652,-0.13916
18.3389,-0.120126
20.0863,-0.103134
21.1712,-0.0857384
22.5997,-0.0677398
22.994,-0.048437
23.5763,-0.029546
24.5179,-0.0115732
25.5045,0.00715491
27.0302,0.024288
27.0759,0.0441177
27.5127,0.0636308
28.3864,0.0829326
29.2601,0.101923
30.2637,0.12048
30.4366,0.140321
31.1457,0.159947
31.3064,0.179991
32.7869,0.19822
33.6286,0.217555
33.4101,0.237125
34.5022,0.254741
34.7867,0.274744
36.4204,0.292961
36.6813,0.311995
37.3873,0.331429
38.8946,0.34875
40.18,0.367223
41.8763,0.384574
