url_path,views_total,views_unique
/jsilveyra/mag-analyst,8,3
/jsilveyra/mag-analyst/commits/development,3,1
/jsilveyra/mag-analyst/projects,3,1
/jsilveyra/mag-analyst/tree/development,2,1
/jsilveyra/mag-analyst/blob/main/README.md,1,1
"/jsilveyra/mag-analyst/blob/main/articles/2023, Silveyra, JOM, A physically based model for soft magnet's anhysteretic curve.pdf",1,1
/jsilveyra/mag-analyst/blob/main/explanation-document.md,1,1
/jsilveyra/mag-analyst/commit/d278d7dbc1ccbb208405ac57b9fdf3baf671de9a,1,1
/jsilveyra/mag-analyst/commits/main,1,1
/jsilveyra/mag-analyst/issues,1,1
