url_path,views_total,views_unique
/jsilveyra/mag-analyst,12,5
/jsilveyra/mag-analyst/commits/development,6,1
/jsilveyra/mag-analyst/blob/main/explanation-document.md,4,4
/jsilveyra/mag-analyst/tree/development,2,1
/jsilveyra/mag-analyst/actions,1,1
/jsilveyra/mag-analyst/commit/587023bf7177e577fd1cd4537becb27b438e3925,1,1
/jsilveyra/mag-analyst/commit/f879548cbbd565bb23fa9c90849c84a647895e6a,1,1
/jsilveyra/mag-analyst/commits/bugfix,1,1
/jsilveyra/mag-analyst/issues,1,1
/jsilveyra/mag-analyst/labels,1,1
