url_path,views_total,views_unique
/jsilveyra/mag-analyst,12,4
/jsilveyra/mag-analyst/projects,6,2
/jsilveyra/mag-analyst/actions,2,1
/jsilveyra/mag-analyst/blob/main/README.md,2,1
/jsilveyra/mag-analyst/blob/main/explanation-document.md,1,1
/jsilveyra/mag-analyst/commit/2003c0c32598010cc6c2d49e013add9dfb349937,1,1
/jsilveyra/mag-analyst/commit/a74e41000029f85aaa19a01103b1bff3c42b1d38,1,1
/jsilveyra/mag-analyst/commits/development,1,1
/jsilveyra/mag-analyst/edit/main/README.md,1,1
/jsilveyra/mag-analyst/issues,1,1
