time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,41,13,1,1
2026-07-08 00:00:00+00:00,13,6,0,0
2026-07-09 00:00:00+00:00,13,5,1,1
2026-07-10 00:00:00+00:00,21,8,6,3
2026-07-11 00:00:00+00:00,14,8,0,0
2026-07-12 00:00:00+00:00,19,5,2,2
2026-07-13 00:00:00+00:00,20,7,14,2
2026-07-14 00:00:00+00:00,8,4,0,0
2026-07-15 00:00:00+00:00,12,3,0,0
2026-07-16 00:00:00+00:00,26,7,1,1
2026-07-17 00:00:00+00:00,16,8,1,1
2026-07-18 00:00:00+00:00,7,2,1,1
2026-07-19 00:00:00+00:00,15,6,0,0
2026-07-20 00:00:00+00:00,1,1,5,2
