url_path,views_total,views_unique
/jsilveyra/mag-analyst,12,5
/jsilveyra/mag-analyst/commits/development,6,1
/jsilveyra/mag-analyst/blob/main/license.txt,4,2
/jsilveyra/mag-analyst/tree/development,3,1
/jsilveyra/mag-analyst/pulls,2,1
/jsilveyra/mag-analyst/blob/main/README.md,1,1
/jsilveyra/mag-analyst/branches,1,1
/jsilveyra/mag-analyst/commit/a74e41000029f85aaa19a01103b1bff3c42b1d38,1,1
/jsilveyra/mag-analyst/commit/d66dfd68514a5cd106905ada1a7990181259f765,1,1
/jsilveyra/mag-analyst/compare,1,1
