url_path,views_total,views_unique
/jsilveyra/mag-analyst,13,4
/jsilveyra/mag-analyst/projects,8,2
/jsilveyra/mag-analyst/actions,2,1
/jsilveyra/mag-analyst/blob/main/README.md,2,1
/jsilveyra/mag-analyst/commits/development,2,1
/jsilveyra/mag-analyst/issues,2,1
/jsilveyra/mag-analyst/pulls,2,1
/jsilveyra/mag-analyst/tree/development,2,1
"/jsilveyra/mag-analyst/blob/main/articles/2023, Silveyra, JOM, A physically based model for soft magnet's anhysteretic curve.pdf",1,1
/jsilveyra/mag-analyst/blob/main/explanation-document.md,1,1
